iter	Passed	Remaining
0	0	91
1	1	77
2	2	69
3	2	62
4	3	60
5	3	58
6	4	57
7	4	56
8	5	55
9	6	54
10	6	53
11	7	53
12	7	52
13	8	51
14	8	50
15	9	51
16	10	51
17	11	51
18	13	55
19	13	55
20	14	55
21	15	55
22	16	54
23	17	54
24	17	53
25	18	53
26	19	52
27	20	52
28	21	51
29	21	50
30	22	51
31	24	52
32	26	53
33	27	53
34	28	53
35	30	53
36	31	54
37	33	53
38	33	53
39	34	52
40	35	51
41	36	50
42	38	50
43	39	50
44	40	49
45	42	50
46	44	49
47	46	50
48	47	49
49	48	48
50	49	48
51	50	47
52	52	46
53	55	46
54	56	46
55	58	45
56	59	45
57	60	43
58	61	42
59	62	41
60	63	40
61	63	39
62	64	37
63	65	36
64	66	36
65	68	35
66	69	34
67	71	33
68	73	32
69	74	31
70	75	30
71	75	29
72	77	28
73	77	27
74	78	26
75	79	25
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	86	17
83	87	16
84	88	15
85	88	14
86	89	13
87	90	12
88	90	11
89	91	10
90	92	9
91	93	8
92	93	7
93	94	6
94	95	5
95	96	4
96	96	2
97	97	1
98	99	1
99	100	0
